title,media_type,collection,wikipedia_link
Attack on Titan,TV Series,,https://en.wikipedia.org/wiki/Attack_on_Titan_(TV_series)
Neon Genesis Evangelion,TV Series,,https://en.wikipedia.org/wiki/Neon_Genesis_Evangelion
Fargo,TV Series,,https://en.wikipedia.org/wiki/Fargo_(TV_series)
Twin Peaks,TV Series,,https://en.wikipedia.org/wiki/Twin_Peaks
Game of Thrones,TV Series,George R. R. Martin,https://en.wikipedia.org/wiki/Game_of_Thrones
House of the Dragon,TV Series,George R. R. Martin,https://en.wikipedia.org/wiki/House_of_the_Dragon
Peaky Blinders,TV Series,,https://en.wikipedia.org/wiki/Peaky_Blinders_(TV_series)
The Boys,TV Series,,https://en.wikipedia.org/wiki/The_Boys_(TV_series)
Vikings,TV Series,,https://en.wikipedia.org/wiki/Vikings_(TV_series)
The Last of Us,TV Series,The Last of Us,https://en.wikipedia.org/wiki/The_Last_of_Us_(TV_series)
Never Have I Ever,TV Series,,https://en.wikipedia.org/wiki/Never_Have_I_Ever_(TV_series)
Stranger Things,TV Series,,https://en.wikipedia.org/wiki/Stranger_Things
Money Heist,TV Series,,https://en.wikipedia.org/wiki/Money_Heist
Chernobyl,TV Series,,https://en.wikipedia.org/wiki/Chernobyl_(miniseries)
Breaking Bad,TV Series,Vince Gilligan,https://en.wikipedia.org/wiki/Breaking_Bad
Better Call Saul,TV Series,Vince Gilligan,https://en.wikipedia.org/wiki/Better_Call_Saul
4 Blocks,TV Series,,https://en.wikipedia.org/wiki/4_Blocks
Doctor Who,TV Series,Doctor Who,https://en.wikipedia.org/wiki/Doctor_Who
WWE,TV Series,WWE,https://en.wikipedia.org/wiki/List_of_WWE_television_programming
House,TV Series,,https://en.wikipedia.org/wiki/House_(TV_series)
WandaVision,TV Series,Marvel,https://en.wikipedia.org/wiki/WandaVision
The Falcon and the Winter Soldier,TV Series,Marvel,https://en.wikipedia.org/wiki/The_Falcon_and_the_Winter_Soldier
Loki,TV Series,Marvel,https://en.wikipedia.org/wiki/Loki_(TV_series)
